,ident,type,name,latitude_deg,longitude_deg,iata_code,state,county
90,KGGW,medium_airport,Wokal Field/Glasgow-Valley County Airport,48.212502,-106.614998,GGW,Montana,Valley
91,KGJT,medium_airport,Grand Junction Regional Airport,39.126663,-108.529387,GJT,Colorado,Mesa
92,KGMU,medium_airport,Greenville Downtown Airport,34.8479003906,-82.34999847410002,GMU,South Carolina,Greenville
93,KGPI,medium_airport,Glacier Park International Airport,48.31050109863281,-114.25599670410156,FCA,Montana,Flathead
94,KGUY,medium_airport,Guymon Municipal Airport,36.6851005554,-101.508003235,GUY,Oklahoma,Texas
95,KGWO,medium_airport,Greenwood–Leflore Airport,33.4943008423,-90.0847015381,GWO,Mississippi,Carroll
96,KHIO,medium_airport,Portland Hillsboro Airport,45.540401,-122.949997,HIO,Oregon,Washington
97,KHOU,medium_airport,William P Hobby Airport,29.645399,-95.2789,HOU,Texas,Harris
98,KHQM,medium_airport,Bowerman Airport,46.9711990356,-123.93699646,HQM,Washington,Grays Harbor
99,KHSV,medium_airport,Huntsville International Carl T Jones Field,34.637199,-86.775101,HSV,Alabama,Madison
100,KHUF,medium_airport,"Terre Haute Regional Airport, Hulman Field",39.4515,-87.307602,HUF,Indiana,Vigo
101,KHUT,medium_airport,Hutchinson Municipal Airport,38.0654983521,-97.86060333250002,HUT,Kansas,Reno
102,KHYR,medium_airport,Sawyer County Airport,46.025199890100005,-91.44429779050002,HYR,Wisconsin,Sawyer
103,KHZY,medium_airport,Northeast Ohio Regional Airport,41.778,-80.695503,JFN,Ohio,Ashtabula
104,KIAD,large_airport,Washington Dulles International Airport,38.9445,-77.455803,IAD,Virginia,Loudoun
105,KIAH,large_airport,George Bush Intercontinental Houston Airport,29.984399795532227,-95.34140014648438,IAH,Texas,Harris
106,KIKK,medium_airport,Greater Kankakee Airport,41.07139968869999,-87.8462982178,IKK,Illinois,Kankakee 
107,KILN,medium_airport,Wilmington Airpark,39.427898407,-83.792098999,ILN,Ohio,Clinton
108,KIND,large_airport,Indianapolis International Airport,39.7173,-86.294403,IND,Indiana,Marion
109,KINK,medium_airport,Winkler County Airport,31.7796001434,-103.200996399,INK,Texas,Winkler
110,KISM,medium_airport,Kissimmee Gateway Airport,28.2898006439,-81.4371032715,ISM,Florida,Osceola
111,KISO,medium_airport,Kinston Regional Jetport At Stallings Field,35.331401825,-77.60880279540001,ISO,North Carolina,Lenoir
112,KIWA,medium_airport,Phoenix–Mesa Gateway Airport,33.3078,-111.654999,AZA,Arizona,Maricopa
113,KJFK,large_airport,John F Kennedy International Airport,40.639801,-73.7789,JFK,New York,City of New York
114,KJQF,medium_airport,Concord-Padgett Regional Airport,35.387798,-80.709099,USA,North Carolina,Cabarrus
115,KJXN,medium_airport,Jackson County Reynolds Field,42.2597999573,-84.45939636230001,JXN,Michigan,Jackson
116,KKLS,medium_airport,Southwest Washington Regional Airport,46.11800003049999,-122.898002625,KLS,Washington,Cowlitz
117,KL45,medium_airport,Bakersfield International Airport,35.324799,-118.996002,,California,Kern
118,KLAA,medium_airport,Southeast Colorado Regional Airport,38.066126,-102.690169,LAA,Colorado,Prowers
119,KLAS,large_airport,McCarran International Airport,36.08010101,-115.1520004,LAS,Nevada,Clark
120,KLAX,large_airport,Los Angeles International Airport,33.942501,-118.407997,LAX,California,Los Angeles
121,KLBB,medium_airport,Lubbock Preston Smith International Airport,33.663601,-101.822998,LBB,Texas,Lubbock
122,KLBT,medium_airport,Lumberton Regional Airport,34.6099014282,-79.05940246579999,LBT,North Carolina,Robeson
123,KLBX,medium_airport,Texas Gulf Coast Regional Airport,29.108601,-95.462097,LJN,Texas,Brazoria
124,KLCK,medium_airport,Rickenbacker International Airport,39.813801,-82.927803,LCK,Ohio,Franklin
125,KLEB,medium_airport,Lebanon Municipal Airport,43.6260986328,-72.30419921880001,LEB,New Hampshire,Grafton
126,KLEE,medium_airport,Leesburg International Airport,28.82309914,-81.80870056,LEE,Florida,Lake
127,KLEX,medium_airport,Blue Grass Airport,38.036499,-84.605904,LEX,Kentucky,Fayette
128,KLFI,medium_airport,Langley Air Force Base,37.082901,-76.360497,LFI,Virginia,Hampton
129,KLFK,medium_airport,Angelina County Airport,31.2339992523,-94.75,LFK,Texas,Angelina
130,KLFT,medium_airport,Lafayette Regional Airport,30.205299,-91.987602,LFT,Louisiana,Lafayette Parish
131,KLGA,large_airport,La Guardia Airport,40.777199,-73.872597,LGA,New York,City of New York
132,KLGB,medium_airport,Long Beach Airport (Daugherty Field),33.817699,-118.152,LGB,California,Los Angeles
133,KLGU,medium_airport,Logan-Cache Airport,41.7911987305,-111.851997375,LGU,Utah,Cache
134,KLNK,medium_airport,Lincoln Airport,40.85100173950195,-96.75920104980467,LNK,Nebraska,Lancaster
135,KLOL,medium_airport,Derby Field,40.0663986206,-118.565002441,LOL,Nevada,Pershing
136,KLOU,medium_airport,Bowman Field,38.2280006409,-85.6636962891,LOU,Kentucky,Jefferson
137,KLOZ,medium_airport,London-Corbin Airport/Magee Field,37.0821990967,-84.08489990230001,LOZ,Kentucky,Laurel
138,KLSE,medium_airport,La Crosse Regional Airport,43.879002,-91.256699,LSE,Wisconsin,La Crosse
139,KLVM,medium_airport,Mission Field,45.6994018555,-110.447998047,LVM,Montana,Park
140,KLVS,medium_airport,Las Vegas Municipal Airport,35.654202,-105.141998,LVS,New Mexico,San Miguel
141,KLWM,medium_airport,Lawrence Municipal Airport,42.7172012329,-71.1233978271,LWM,Massachusetts,Essex
142,KMBS,medium_airport,MBS International Airport,43.532902,-84.079597,MBS,Michigan,Saginaw
143,KMCI,large_airport,Kansas City International Airport,39.2976,-94.713898,MCI,Missouri,Platte
144,KMCO,large_airport,Orlando International Airport,28.429399490356445,-81.30899810791016,MCO,Florida,Orange
145,KMDT,medium_airport,Harrisburg International Airport,40.1935005188,-76.7633972168,MDT,Pennsylvania,Dauphin
146,KMDW,large_airport,Chicago Midway International Airport,41.785999,-87.752403,MDW,Illinois,Cook
147,KMFD,medium_airport,Mansfield Lahm Regional Airport,40.82139968869999,-82.5166015625,MFD,Ohio,Richland
148,KMGM,medium_airport,Montgomery Regional (Dannelly Field) Airport,32.300598,-86.393997,MGM,Alabama,Montgomery
149,KMHR,medium_airport,Sacramento Mather Airport,38.553902,-121.297997,MHR,California,Sacramento
150,KMIA,large_airport,Miami International Airport,25.79319953918457,-80.29060363769531,MIA,Florida,Miami-Dade
151,KMKL,medium_airport,McKellar-Sipes Regional Airport,35.599899,-88.915604,MKL,Tennessee,Madison
152,KMLB,medium_airport,Melbourne Orlando International Airport,28.1028,-80.645302,MLB,Florida,Brevard
153,KMOB,medium_airport,Mobile Regional Airport,30.6912,-88.242798,MOB,Alabama,Mobile
154,KMQY,medium_airport,Smyrna Airport,36.0089988708,-86.5201034546,MQY,Tennessee,Rutherford
155,KMRB,medium_airport,Eastern WV Regional Airport/Shepherd Field,39.40190125,-77.98459625,MRB,West Virginia,Berkeley
156,KMSP,large_airport,Minneapolis–Saint Paul International Airport / Wold–Chamberlain Field,44.882,-93.221802,MSP,Minnesota,Hennepin
157,KMSS,medium_airport,Massena International Airport Richards Field,44.936157,-74.844304,MSS,New York,Saint Lawrence
158,KMTH,medium_airport,The Florida Keys Marathon Airport,24.726101,-81.051399,MTH,Florida,Monroe
159,KMWH,medium_airport,Grant County International Airport,47.20769882,-119.3199997,MWH,Washington,Grant
160,KMYL,medium_airport,McCall Municipal Airport,44.88970184,-116.1009979,MYL,Idaho,Valley
161,KMYV,medium_airport,Yuba County Airport,39.09780121,-121.5699997,MYV,California,Yuba
162,KNEW,medium_airport,Lakefront Airport,30.042400360107,-90.028297424316,NEW,Louisiana,Orleans Parish
163,KNHZ,medium_airport,Brunswick Executive Airport,43.89220047,-69.93859863,NHZ,Maine,Cumberland
164,KOAK,large_airport,Metropolitan Oakland International Airport,37.721298,-122.221001,OAK,California,Alameda
165,KOFK,medium_airport,Karl Stefan Memorial Airport,41.985500335693,-97.435096740723,OFK,Nebraska,Madison
166,KOGB,medium_airport,Orangeburg Municipal Airport,33.456798553467,-80.859497070312,OGB,South Carolina,Orangeburg
167,KOGD,medium_airport,Ogden Hinckley Airport,41.195899963379,-112.0120010376,OGD,Utah,Weber
168,KOPF,medium_airport,Miami-Opa Locka Executive Airport,25.907,-80.278397,OPF,Florida,Miami-Dade
169,KORD,large_airport,Chicago O'Hare International Airport,41.9786,-87.9048,ORD,Illinois,Cook
